iter	Passed	Remaining
0	144	144158
1	144	72334
2	145	48362
3	146	36397
4	146	29203
5	147	24404
6	147	20977
7	148	18408
8	149	16420
9	149	14819
10	150	13513
11	150	12423
12	151	11502
13	152	10709
14	152	10029
15	153	9431
16	154	8905
17	154	8436
18	155	8019
19	156	7646
20	156	7307
21	157	7000
22	158	6719
23	158	6460
24	159	6223
25	160	6008
26	161	5810
27	161	5622
28	162	5447
29	163	5282
30	164	5128
31	164	4986
32	165	4852
33	166	4721
34	166	4601
35	167	4485
36	168	4375
37	168	4273
38	169	4174
39	170	4084
40	170	3997
41	171	3913
42	172	3833
43	173	3762
44	173	3688
45	174	3618
46	175	3550
47	175	3485
48	176	3424
49	177	3364
50	177	3309
51	178	3256
52	179	3204
53	180	3156
54	180	3109
55	181	3061
56	182	3015
57	182	2971
58	183	2927
59	184	2886
60	184	2845
61	185	2807
62	186	2770
63	186	2733
64	187	2699
65	188	2665
66	189	2632
67	189	2596
68	190	2566
69	190	2535
70	191	2505
71	192	2476
72	192	2448
73	193	2421
74	194	2394
75	194	2367
76	195	2341
77	195	2316
78	196	2291
79	197	2267
80	197	2245
81	198	2222
82	199	2201
83	199	2179
84	200	2156
85	200	2135
86	201	2112
87	201	2093
88	202	2074
89	203	2056
90	204	2038
91	204	2021
92	205	2003
93	206	1985
94	206	1969
95	207	1953
96	208	1936
97	208	1920
98	209	1904
99	209	1889
100	210	1874
101	210	1856
102	211	1842
103	212	1828
104	213	1815
105	213	1802
106	214	1790
107	215	1777
108	215	1765
109	216	1752
110	217	1740
111	217	1727
112	218	1714
113	219	1702
114	219	1691
115	220	1679
116	220	1667
117	221	1656
118	222	1644
119	222	1633
120	223	1623
121	224	1612
122	224	1600
123	225	1590
124	225	1579
125	226	1569
126	226	1559
127	227	1548
128	228	1540
129	228	1531
130	229	1522
131	230	1514
132	230	1505
133	231	1496
134	232	1488
135	232	1479
136	233	1471
137	234	1462
138	234	1454
139	235	1446
140	236	1437
141	236	1429
142	237	1422
143	237	1414
144	238	1407
145	239	1400
146	240	1392
147	240	1385
148	241	1378
149	242	1371
150	242	1364
151	243	1358
152	244	1352
153	245	1346
154	246	1341
155	246	1335
156	247	1328
157	248	1322
158	248	1316
159	249	1310
160	250	1304
161	250	1298
162	251	1292
163	252	1286
164	253	1281
165	253	1275
166	254	1269
167	255	1263
168	255	1257
169	256	1252
170	257	1246
171	257	1240
172	258	1234
173	258	1229
174	259	1223
175	260	1218
176	260	1213
177	261	1208
178	262	1203
179	263	1198
180	263	1191
181	263	1186
182	264	1181
183	265	1176
184	265	1171
185	266	1166
186	267	1161
187	267	1156
188	268	1151
189	269	1147
190	269	1142
191	270	1138
192	271	1133
193	271	1129
194	272	1125
195	273	1121
196	274	1117
197	274	1113
198	275	1108
199	276	1104
200	276	1100
201	277	1095
202	278	1091
203	278	1087
204	279	1083
205	280	1080
206	280	1076
207	281	1072
208	282	1068
209	283	1064
210	283	1060
211	284	1056
212	285	1053
213	285	1049
214	286	1045
215	286	1041
216	287	1037
217	288	1033
218	288	1029
219	289	1025
220	290	1022
221	290	1018
222	291	1014
223	291	1011
224	292	1007
225	293	1004
226	293	1000
227	294	997
228	295	993
229	295	990
230	296	987
231	297	983
232	297	980
233	298	977
234	299	973
235	299	970
236	300	967
237	301	964
238	301	961
239	302	958
240	303	955
241	303	952
242	304	949
243	305	946
244	306	944
245	307	941
246	308	939
247	308	936
248	309	933
249	310	930
250	310	927
251	311	925
252	312	923
253	313	920
254	314	917
255	314	914
256	315	912
257	316	909
258	316	906
259	317	903
260	318	900
261	318	897
262	319	895
263	320	892
264	320	889
265	321	886
266	321	883
267	322	880
268	323	878
269	323	875
270	324	873
271	325	870
272	325	867
273	326	865
274	327	863
275	328	860
276	328	858
277	329	855
278	330	853
279	331	851
280	331	848
281	332	846
282	333	844
283	333	841
284	334	839
285	335	836
286	335	834
287	336	831
288	337	829
289	337	826
290	338	824
291	339	822
292	339	819
293	340	817
294	341	815
295	341	812
296	342	810
297	343	808
298	343	806
299	344	804
300	345	802
301	346	799
302	346	797
303	347	795
304	348	793
305	349	792
306	350	790
307	351	788
308	351	786
309	352	784
310	353	782
311	353	780
312	354	778
313	355	776
314	356	774
315	356	772
316	357	769
317	357	767
318	358	765
319	359	763
320	359	761
