iter	Passed	Remaining
0	137	137645
1	138	69159
2	139	46286
3	139	34836
4	140	27973
5	141	23434
6	142	20225
7	143	17789
8	144	15866
9	145	14367
10	146	13135
11	146	12083
12	147	11195
13	148	10449
14	149	9787
15	149	9204
16	150	8694
17	151	8238
18	151	7830
19	152	7469
20	153	7136
21	153	6839
22	154	6563
23	155	6311
24	155	6076
25	156	5867
26	157	5666
27	157	5480
28	158	5307
29	159	5152
30	160	5002
31	160	4858
32	161	4726
33	162	4604
34	162	4485
35	163	4378
36	164	4273
37	164	4175
38	165	4079
39	166	3990
40	166	3904
41	167	3827
42	168	3750
43	169	3674
44	169	3603
45	170	3536
46	171	3472
47	171	3409
48	172	3351
49	173	3292
50	174	3238
51	174	3185
52	175	3137
53	176	3090
54	176	3040
55	177	2994
56	178	2948
57	178	2906
58	179	2864
59	180	2825
60	180	2785
61	181	2746
62	182	2709
63	182	2672
64	183	2638
65	183	2603
66	184	2571
67	185	2539
68	185	2508
69	186	2480
70	187	2452
71	188	2423
72	188	2396
73	189	2369
74	189	2342
75	190	2319
76	191	2297
77	192	2273
78	192	2249
79	193	2227
80	194	2204
81	194	2182
82	195	2157
83	196	2137
84	196	2119
85	197	2100
86	198	2081
87	198	2061
88	199	2042
89	200	2024
90	201	2008
91	201	1991
92	202	1974
93	203	1957
94	203	1940
95	204	1924
96	205	1908
97	205	1894
98	206	1879
99	207	1864
100	207	1849
101	208	1834
102	209	1821
103	209	1807
104	210	1794
105	211	1781
106	211	1769
107	212	1756
108	213	1745
109	214	1732
110	214	1721
111	215	1710
112	216	1698
113	216	1686
114	217	1674
115	218	1663
116	218	1651
117	219	1640
118	220	1629
119	220	1618
120	221	1608
121	222	1597
122	222	1587
123	223	1577
124	224	1570
125	224	1560
126	225	1549
127	226	1539
128	226	1531
129	227	1522
130	228	1513
131	228	1504
132	229	1496
133	230	1489
134	231	1480
135	231	1472
136	232	1463
137	233	1455
138	233	1447
139	234	1440
140	235	1432
141	235	1423
142	236	1416
143	237	1409
144	237	1401
145	238	1394
146	238	1386
147	239	1378
148	240	1372
149	241	1366
150	241	1359
151	242	1352
152	243	1345
153	243	1338
154	244	1331
155	244	1324
156	245	1317
157	246	1311
158	246	1305
159	247	1299
160	247	1292
161	248	1286
162	249	1279
163	249	1273
164	250	1267
165	251	1262
166	251	1256
167	252	1250
168	253	1245
169	254	1240
170	254	1235
171	255	1230
172	256	1224
173	256	1219
174	257	1214
175	258	1209
176	259	1205
177	259	1199
178	260	1195
179	261	1189
180	261	1184
181	262	1180
182	263	1176
183	264	1171
184	264	1166
185	265	1161
186	266	1156
187	266	1151
188	267	1147
189	268	1142
190	268	1138
191	269	1134
192	270	1129
193	270	1125
194	271	1121
195	272	1117
196	273	1113
197	274	1110
198	274	1106
199	275	1102
200	276	1097
201	276	1093
202	280	1100
203	281	1097
204	281	1093
205	282	1089
206	283	1084
207	283	1080
208	284	1076
209	285	1072
210	286	1070
211	286	1066
212	287	1062
213	288	1058
214	288	1054
215	289	1050
216	289	1046
217	290	1042
218	291	1039
219	292	1035
220	292	1031
221	293	1028
222	294	1024
223	294	1020
224	295	1018
225	296	1015
226	297	1012
227	297	1008
228	298	1005
229	299	1002
230	299	998
231	301	996
232	301	993
233	302	990
234	303	988
235	304	985
236	305	982
237	305	979
238	306	976
239	307	973
240	308	971
241	309	968
242	309	965
243	310	962
244	311	959
245	312	957
246	313	954
247	313	951
248	314	948
249	315	945
250	315	942
251	316	938
252	316	935
253	317	932
254	318	929
255	318	926
256	319	924
257	320	921
258	320	917
259	321	914
260	321	911
261	322	908
262	323	905
263	323	902
264	324	900
265	325	897
266	325	894
267	326	891
268	326	888
269	327	885
270	328	882
271	328	880
272	329	877
273	330	875
274	331	872
275	331	870
276	332	867
277	333	865
278	333	862
279	334	860
280	335	858
281	336	855
282	336	853
283	337	850
284	337	847
285	338	845
286	339	842
287	339	839
288	340	837
289	341	835
290	341	832
291	342	830
292	343	828
293	343	825
294	344	823
295	345	821
296	346	819
297	346	816
298	347	814
299	347	811
300	348	809
301	349	806
302	349	804
303	350	802
304	351	799
305	351	797
306	352	795
307	353	793
308	353	791
309	354	789
310	355	786
311	355	784
312	356	782
313	357	780
314	357	778
315	358	776
316	359	773
317	359	771
318	360	769
319	361	767
320	361	765
321	362	763
322	363	761
323	363	758
324	364	756
325	364	754
326	365	752
327	366	749
328	366	747
329	367	745
330	367	743
331	368	741
332	369	739
333	370	737
334	370	735
335	371	733
336	371	731
337	372	729
338	373	727
339	373	725
340	374	724
341	375	722
342	376	720
343	376	718
344	377	716
345	378	715
346	379	713
347	380	712
348	380	710
349	381	708
350	382	706
351	383	705
352	383	703
353	384	701
354	385	699
355	385	698
356	386	696
357	387	695
358	388	693
359	389	691
360	389	690
361	390	688
362	391	686
363	391	684
364	392	683
365	393	681
366	394	679
367	394	678
368	395	676
369	396	675
370	397	673
371	397	671
372	398	669
373	400	670
374	401	668
375	401	667
376	402	665
377	403	663
378	403	661
379	404	659
380	404	657
381	405	655
382	405	653
383	406	652
384	407	650
385	408	649
386	408	647
387	409	645
388	409	643
389	410	642
390	411	641
391	412	639
392	413	638
393	413	636
394	414	634
395	415	633
396	415	631
397	416	629
398	416	627
399	417	626
400	418	624
401	418	622
402	419	621
403	420	619
404	420	617
405	421	616
406	421	614
407	422	612
408	423	611
409	423	609
410	424	608
411	425	606
412	425	605
413	426	603
414	426	601
415	428	601
416	429	600
417	430	599
418	430	597
419	431	596
420	432	594
421	432	592
422	433	591
423	434	589
424	434	588
425	435	587
426	436	585
427	436	584
428	437	582
429	438	581
430	439	580
431	440	578
432	441	577
433	441	576
434	442	574
435	443	573
436	443	571
437	444	570
438	445	569
439	446	568
440	446	566
441	447	565
442	448	563
443	449	562
444	449	561
445	450	559
446	451	558
447	452	557
448	452	555
449	453	554
